PARK,ZIP,ACRES,WARD
CRAWFORD (PETER),60623.0,0.16,24
TOM (PING) MEML.,60616.0,17.53,25
NORTH PARK NATURE CENTER,60646.0,58.11,39
FOSCO (PETER),60608.0,3.76,25
WAGNER (CLARENCE),60609.0,1.07,20
CLARK (RICHARD),60618.0,19.94,47
ADAMS (JOHN C.),60619.0,1.01,8
"WILLIAMS-DAVIS (HATTIE KAY,IZORA)",60653.0,2.89,4
LIMAS (JULIANN HOPE),60623.0,0.49,22
BARAGA (FREDERICK),60608.0,0.53,25
WILSON (JOHN) COMM. CTR.,60608.0,0.21,11
ASPEN,60653.0,0.21,3
HONEYSUCKLE,60653.0,0.25,4
SPRUCE,60615.0,1.29,5
MICEK (FRANK),60609.0,1.26,16
MALUS,60609.0,0.61,3
HANSBERRY (LORRAINE),60637.0,0.72,20
BEEHIVE,60637.0,0.27,20
JUNCTION GROVE,60621.0,0.25,20
OAKLEY,60636.0,0.48,16
LELAND GIANTS,60621.0,2.08,6
ESSEX,60619.0,0.49,5
AUBURN,60620.0,5.36,17
GATELY (JAMES),60628.0,27.9,8
BLOCK,60628.0,2.96,34
HEGEWISCH MARSH,60633.0,130.45,10
LANGLEY,60628.0,1.19,9
PARK NO. 562,60643.0,141.39,0
PARK NO. 559,60660.0,0.61,48
PARK NO. 534,60623.0,3.65,24
SAUGANASH TRAIL,60626.0,11.83,39
PARK NO. 568,60659.0,23.68,40
PARK NO. 543,60605.0,0.4,4
BOSLEY (WILLIAM),60608.0,2.15,11
HARRIS (RYAN) MEMORIAL,60621.0,3.12,0
CALUMET,60617.0,181.29,10
GILL (JOSEPH),60613.0,2.42,46
PINE,60617.0,0.36,10
PARK NO. 474,60616.0,0.01,3
PARK NO. 519,60623.0,0.08,24
BROOKS (OSCAR),60631.0,9.42,41
QUINN (MARY),60646.0,0.89,39
"MELLIN (CURTIS, SR.)",60640.0,0.28,40
BUTTERCUP,60640.0,1.85,48
PRINZ (TOBEY) BEACH,60626.0,2.31,49
ASTER,60640.0,0.18,46
CLARENDON COMM. CTR.,60640.0,12.78,46
MANN (JAMES),60633.0,18.86,10
WEBSTER (DANIEL),60605.0,1.31,3
HORNER (HENRY),60618.0,58.07,33
PORTAGE,60641.0,38.29,38
HAYES (FRANCIS),60652.0,20.63,18
